,ds,holiday,lower_windows,upper_windows
0,2000-02-02,publish,0,5
1,2000-03-21,publish,0,5
2,2001-03-20,publish,0,5
3,2001-04-18,publish,0,5
4,2001-05-15,publish,0,5
5,2001-07-27,publish,0,5
6,2001-09-17,publish,0,5
7,2001-10-02,publish,0,5
8,2004-01-30,publish,0,5
9,2004-08-10,publish,0,5
10,2004-09-21,publish,0,5
11,2004-11-10,publish,0,5
12,2005-02-02,publish,0,5
13,2005-03-22,publish,0,5
14,2005-05-03,publish,0,5
15,2005-07-30,publish,0,5
16,2006-01-31,publish,0,5
17,2006-03-28,publish,0,5
18,2006-05-10,publish,0,5
19,2006-07-29,publish,0,5
20,2007-12-11,publish,0,5
21,2008-01-30,publish,0,5
22,2008-03-18,publish,0,5
23,2008-04-30,publish,0,5
24,2008-10-08,publish,0,5
25,2008-10-29,publish,0,5
26,2017-01-14,publish,0,5
27,2017-03-15,publish,0,5
